case_id,group,instrument,kind,spot,strike,tau,rate,vol,div,method,settings,seed,steps,n_paths,n_samples,pilot_paths,total_paths,antithetic,control_variate,control_beta,variance_reduction,n_dates,average,reference,reference_price,price,error,abs_error,rel_error,se,ci_low,ci_high,ci_status,z_score,covered_95,criterion,outcome,expected,status,reason
eu-call-K80-T1-v0.3-r0.01-q0.03,european,european,call,100.0,80.0,1.0,0.01,0.3,0.03,mc_plain,n_paths=65536,1320148671,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,21.721633607501573,21.78950221614979,0.0678686086482152,0.0678686086482152,0.0031244707407631052,0.10052354281079891,21.592479692642254,21.986524739657323,normal,0.6751513799703078,True,z_score,agree,agree,pass,
eu-call-K80-T1-v0.3-r0.01-q0.03,european,european,call,100.0,80.0,1.0,0.01,0.3,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,1850964978,,65536,32768,4096,69632,True,True,1.6896189740944372,109.36229884179286,,,bsm_price,21.721633607501573,21.7191665208473,-0.0024670866542741976,0.0024670866542741976,-0.00011357739932700957,0.009316350117241818,21.70090681015014,21.737426231544458,normal,-0.2648125739401257,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.1-r0.05-q0,european,european,call,100.0,80.0,2.0,0.05,0.1,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,27.65894824560904,27.6588446911305,-0.00010355447853882538,0.00010355447853882538,-3.74397745059829e-06,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T2-v0.1-r0.05-q0,european,european,call,100.0,80.0,2.0,0.05,0.1,0.0,mc_plain,n_paths=65536,1587598631,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,27.65894824560904,27.630398422650966,-0.02854982295807318,0.02854982295807318,-0.0010322092765261083,0.055292171694190775,27.52202775750335,27.738769087798584,normal,-0.5163447570114658,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.1-r0.05-q0,european,european,call,100.0,80.0,2.0,0.05,0.1,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,2238653471,,65536,32768,4096,69632,True,True,1.1340399451503393,1082.0004374491746,,,bsm_price,27.65894824560904,27.65899276845022,4.4522841179173156e-05,4.4522841179173156e-05,1.609708394687109e-06,0.0016230711654678352,27.655811607421555,27.662173929478882,normal,0.027431231683756677,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,2.0,0.01,0.1,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,16.31878636943513,16.317841693471642,-0.0009446759634883506,0.0009446759634883506,-5.788886146936246e-05,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T2-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,2.0,0.01,0.1,0.03,mc_plain,n_paths=65536,3986820883,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,16.31878636943513,16.288052367365093,-0.030734002070037292,0.030734002070037292,-0.0018833509658292768,0.048772949386129236,16.192459143148486,16.3836455915817,normal,-0.6301444234327538,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,2.0,0.01,0.1,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,3068745820,,65536,32768,4096,69632,True,True,2.0352865433925666,370.78466983840207,,,bsm_price,16.31878636943513,16.318346906329374,-0.00043946310575648795,0.00043946310575648795,-2.692988901304551e-05,0.0024474353183082777,16.313550021251,16.323143791407748,normal,-0.17956066191782127,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.3-r0.05-q0,european,european,call,100.0,80.0,2.0,0.05,0.3,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,32.19291006531835,32.19459329074253,0.0016832254241805344,0.0016832254241805344,5.228559396355675e-05,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T2-v0.3-r0.05-q0,european,european,call,100.0,80.0,2.0,0.05,0.3,0.0,mc_plain,n_paths=65536,3495853676,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,32.19291006531835,32.204327286804514,0.011417221486162532,0.011417221486162532,0.00035465018424856175,0.15585961483653135,31.898848055080627,32.5098065185284,normal,0.07325323816652017,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.3-r0.05-q0,european,european,call,100.0,80.0,2.0,0.05,0.3,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,2224965788,,65536,32768,4096,69632,True,True,1.4300964207028748,149.318493843763,,,bsm_price,32.19291006531835,32.196686596291954,0.003776530973603087,0.003776530973603087,0.00011730940029778702,0.012431651909466641,32.17232100628106,32.22105218630285,normal,0.3037835197691851,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.3-r0.01-q0.03,european,european,call,100.0,80.0,2.0,0.01,0.3,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,23.683450022014625,23.68531094100652,0.0018609189918947777,0.0018609189918947777,7.85746582598813e-05,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T2-v0.3-r0.01-q0.03,european,european,call,100.0,80.0,2.0,0.01,0.3,0.03,mc_plain,n_paths=65536,1045092493,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,23.683450022014625,23.662074196311394,-0.021375825703231044,0.021375825703231044,-0.000902563844514268,0.1362204789534424,23.395086963605852,23.929061429016937,normal,-0.15692079390307312,True,z_score,agree,agree,pass,
eu-call-K80-T2-v0.3-r0.01-q0.03,european,european,call,100.0,80.0,2.0,0.01,0.3,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,1280248829,,65536,32768,4096,69632,True,True,1.4880442603466832,51.86073418249402,,,bsm_price,23.683450022014625,23.682495303714575,-0.000954718300050672,0.000954718300050672,-4.031162263788539e-05,0.018210289507871704,23.6468037921311,23.71818681529805,normal,-0.052427409220373956,True,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.1-r0.05-q0,european,european,call,100.0,100.0,0.25,0.05,0.1,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,2.6648322216391875,2.664322000906326,-0.0005102207328615549,0.0005102207328615549,-0.0001914644864762663,,,,,,,tolerance,agree,agree,pass,
eu-call-K100-T0.25-v0.1-r0.05-q0,european,european,call,100.0,100.0,0.25,0.05,0.1,0.0,mc_plain,n_paths=65536,4132607014,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,2.6648322216391875,2.6455884531063103,-0.019243768532877237,0.019243768532877237,-0.0072213809096919575,0.01332123653126748,2.6194793092754867,2.671697596937134,normal,-1.444593261872383,True,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.1-r0.05-q0,european,european,call,100.0,100.0,0.25,0.05,0.1,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,982782207,,65536,32768,4096,69632,True,True,8.696459064142534,25.971425326738682,,,bsm_price,2.6648322216391875,2.6706134056023867,0.005781183963199155,0.005781183963199155,0.002169436378115783,0.0025413680959436276,2.665632415662878,2.6755943955418955,normal,2.2748314077078082,False,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.1-r0.01-q0.03,european,european,call,100.0,100.0,0.25,0.01,0.1,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,1.7457212926163095,1.7452227549141137,-0.0004985377021957671,0.0004985377021957671,-0.0002855769155731666,,,,,,,tolerance,agree,agree,pass,
eu-call-K100-T0.25-v0.1-r0.01-q0.03,european,european,call,100.0,100.0,0.25,0.01,0.1,0.03,mc_plain,n_paths=65536,306331722,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,1.7457212926163095,1.7667158258856033,0.02099453326929379,0.02099453326929379,0.01202628011589944,0.011103292146547133,1.7449537731685445,1.788477878602662,normal,1.8908385902304305,True,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.1-r0.01-q0.03,european,european,call,100.0,100.0,0.25,0.01,0.1,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,231534242,,65536,32768,4096,69632,True,True,8.413575703382435,14.919729569851679,,,bsm_price,1.7457212926163095,1.7437402961736952,-0.001980996442614291,0.001980996442614291,-0.0011347724582343698,0.0027683734146432713,1.7383143839852362,1.7491662083621542,normal,-0.7155813706835353,True,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.3-r0.05-q0,european,european,call,100.0,100.0,0.25,0.05,0.3,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,6.583084497992466,6.581594256464107,-0.001490241528359526,0.001490241528359526,-0.00022637435822280274,,,,,,,tolerance,agree,agree,pass,
eu-call-K100-T0.25-v0.3-r0.05-q0,european,european,call,100.0,100.0,0.25,0.05,0.3,0.0,mc_plain,n_paths=65536,549594198,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,6.583084497992466,6.539797710644756,-0.04328678734771074,0.04328678734771074,-0.006575456742338822,0.03886624630157979,6.463621267679396,6.615974153610115,normal,-1.1137372776323726,True,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.3-r0.05-q0,european,european,call,100.0,100.0,0.25,0.05,0.3,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,2416439527,,65536,32768,4096,69632,True,True,3.2659030565903397,18.97570106984764,,,bsm_price,6.583084497992466,6.589365052780564,0.006280554788097525,0.006280554788097525,0.0009540443829959652,0.008628392958293707,6.57245371333785,6.606276392223278,normal,0.7278939216671381,True,z_score,agree,agree,pass,
eu-call-K100-T0.25-v0.3-r0.01-q0.03,european,european,call,100.0,100.0,0.25,0.01,0.3,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,5.703274328266616,5.70178651750918,-0.0014878107574363142,0.0014878107574363142,-0.0002608695762822444,,,,,,,tolerance,agree,agree,pass,
