contract,kind,parity,steps,spot,strike,tau,rate,vol,div,reference,price,error,abs_error,fitted_order
off_strike,call,odd,101,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.181361662859155,-0.0072200909210007325,0.0072200909210007325,
off_strike,call,odd,201,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.185895384315981,-0.002686369464174554,0.002686369464174554,
off_strike,call,odd,401,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.190602887213764,0.002021133433608213,0.002021133433608213,
off_strike,call,odd,801,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.189341575297289,0.0007598215171329414,0.0007598215171329414,
off_strike,put,even,50,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.826769503345819,0.022818385162633348,0.022818385162633348,
off_strike,put,even,100,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.817913728081193,0.013962609898007017,0.013962609898007017,
off_strike,put,even,200,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.810699713725699,0.006748595542513058,0.006748595542513058,
off_strike,put,even,400,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.805357633598963,0.0014065154157769655,0.0014065154157769655,
off_strike,put,even,800,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.804898900493637,0.0009477823104511174,0.0009477823104511174,
off_strike,put,odd,51,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.808280831802403,0.004329713619217301,0.004329713619217301,
off_strike,put,odd,101,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.796731027262163,-0.007220090921022049,0.007220090921022049,
off_strike,put,odd,201,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.801264748719069,-0.0026863694641168223,0.0026863694641168223,
off_strike,put,odd,401,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.805972251616838,0.002021133433652622,0.002021133433652622,
off_strike,put,odd,801,100.0,110.0,1.0,0.05,0.2,0.02,11.803951118183186,11.804710939700254,0.0007598215170681044,0.0007598215170681044,
